 Date__(UT)__HR:MN     RA             DEC    APmag   S-brt             delta      deldot     S-O-T /r     S-T-O  399_ins_LT  Sky_motion  Sky_mot_PA  RelVel-ANG  Lun_Sky_Brt  sky_SNR
 2023-Jul-25 00:03     191.82748   3.07324    8.769   6.825  2.83574375821573  21.3587446   68.3487 /T   20.9882    0.000000   0.8566182   122.67006   36.030652         n.a.     n.a.
 2023-Jul-25 00:06     191.82809   3.07286    8.769   6.825  2.83576945798331  21.3585798   68.3474 /T   20.9880    0.000000   0.8566284   122.66971   36.029868         n.a.     n.a.
 2023-Jul-25 00:09     191.82869   3.07247    8.769   6.825  2.83579515755252  21.3584149   68.3461 /T   20.9878    0.000000   0.8566387   122.66935   36.029085         n.a.     n.a.
 2023-Jul-25 00:12     191.82929   3.07209    8.769   6.825  2.83582085692338  21.3582501   68.3449 /T   20.9876    0.000000   0.8566489   122.66900   36.028301         n.a.     n.a.
 2023-Jul-25 00:15     191.82989   3.07170    8.769   6.825  2.83584655609584  21.3580852   68.3436 /T   20.9874    0.000000   0.8566592   122.66864   36.027518         n.a.     n.a.
 2023-Jul-25 00:18     191.83049   3.07132    8.769   6.825  2.83587225506994  21.3579203   68.3423 /T   20.9872    0.000000   0.8566694   122.66829   36.026734         n.a.     n.a.
 2023-Jul-25 00:21     191.83109   3.07093    8.769   6.825  2.83589795384562  21.3577554   68.3410 /T   20.9870    0.000000   0.8566797   122.66793   36.025951         n.a.     n.a.
 2023-Jul-25 00:24     191.83170   3.07055    8.769   6.825  2.83592365242290  21.3575905   68.3398 /T   20.9868    0.000000   0.8566899   122.66758   36.025168         n.a.     n.a.
 2023-Jul-25 00:27     191.83230   3.07016    8.769   6.825  2.83594935080176  21.3574256   68.3385 /T   20.9865    0.000000   0.8567002   122.66722   36.024384         n.a.     n.a.
 2023-Jul-25 00:30     191.83290   3.06977    8.769   6.825  2.83597504898218  21.3572607   68.3372 /T   20.9863    0.000000   0.8567104   122.66687   36.023601         n.a.     n.a.
 2023-Jul-25 00:33     191.83350   3.06939    8.769   6.825  2.83600074696416  21.3570958   68.3359 /T   20.9861    0.000000   0.8567207   122.66651   36.022817         n.a.     n.a.
 2023-Jul-25 00:36     191.83410   3.06900    8.769   6.825  2.83602644474768  21.3569309   68.3347 /T   20.9859    0.000000   0.8567309   122.66616   36.022034         n.a.     n.a.
 2023-Jul-25 00:39     191.83470   3.06862    8.769   6.825  2.83605214233274  21.3567659   68.3334 /T   20.9857    0.000000   0.8567411   122.66580   36.021251         n.a.     n.a.
 2023-Jul-25 00:42     191.83531   3.06823    8.769   6.825  2.83607783971931  21.3566010   68.3321 /T   20.9855    0.000000   0.8567514   122.66545   36.020467         n.a.     n.a.
 2023-Jul-25 00:45     191.83591   3.06785    8.769   6.825  2.83610353690741  21.3564360   68.3308 /T   20.9853    0.000000   0.8567616   122.66509   36.019684         n.a.     n.a.
 2023-Jul-25 00:48     191.83651   3.06746    8.769   6.825  2.83612923389699  21.3562711   68.3296 /T   20.9851    0.000000   0.8567719   122.66474   36.018901         n.a.     n.a.
 2023-Jul-25 00:51     191.83711   3.06707    8.769   6.825  2.83615493068808  21.3561061   68.3283 /T   20.9849    0.000000   0.8567821   122.66438   36.018117         n.a.     n.a.
 2023-Jul-25 00:54     191.83771   3.06669    8.769   6.825  2.83618062728063  21.3559411   68.3270 /T   20.9847    0.000000   0.8567924   122.66403   36.017334         n.a.     n.a.
 2023-Jul-25 00:57     191.83831   3.06630    8.769   6.825  2.83620632367467  21.3557761   68.3258 /T   20.9844    0.000000   0.8568026   122.66367   36.016551         n.a.     n.a.
 2023-Jul-25 01:00     191.83892   3.06592    8.769   6.825  2.83623201987014  21.3556111   68.3245 /T   20.9842    0.000000   0.8568128   122.66332   36.015767         n.a.     n.a.
